price,totalbedrooms,bathrooms,BuildingType,storeys,communityName,title,landSize,Builtin,totalFinishedArea,style,po3,CAGR
645000,4,3,House,1,Oakfield,Freehold,'1 - 3 acres',2011,2784,Detached,B2T,0.087466
209900,3,2,'Mobile Home',1,Collingwood,Freehold,'under 1/2 acre',2018,1088,?,B0M,0
169900,3,1,House,2,Burntcoat,Freehold,'1 - 3 acres',?,1083,Detached,B0N,0
249900,3,2,House,2,'Upper Stewiacke',Freehold,'under 1/2 acre',1866,1612,Detached,B0N,0
189900,3,1,House,2,'Great Village',Freehold,'under 1/2 acre',1932,1275,Detached,B0M,0.215657
949000,5,5,House,2,Belmont,Freehold,'10 - 49 acres',2016,3590,Detached,B0N,0
3999900,5,6,House,2,Bedford,Freehold,'under 1/2 acre',2022,5268,Detached,B4A,0
449900,2,2,Apartment,1,Dartmouth,Condominium/Strata,?,2011,1255,?,B2W,0
929000,4,2,House,2,'Chester Basin',Freehold,'1 - 3 acres',2018,2614,Detached,B0J,0
489900,3,4,House,2,Halifax,Freehold,'under 1/2 acre',2018,1864,Detached,B3P,0.142728
299900,3,2,House,1,'Eastern Passage',Freehold,'1/2 - 1 acre',2001,1440,Detached,B3G,0
279900,3,1,'Row / Townhouse',2,'Cole Harbour',Freehold,'under 1/2 acre',1978,1200,?,B2W,0
395000,4,2,House,2,'Upper Nine Mile River',Freehold,'1 - 3 acres',1992,1944,Detached,B2S,0
449000,3,2,House,1,'Central North River',Freehold,'1 - 3 acres',1995,2288,Detached,B6L,0
149999,3,1,House,2,'New Glasgow',Freehold,'under 1/2 acre',1915,960,Detached,B2H,0.042616
129000,2,1,'Mobile Home',1,'Bible Hill',Freehold,?,1989,840,?,B2N,0
899000,4,4,House,2,'Fall River',Freehold,'1 - 3 acres',2019,3300,Detached,B2T,0.175163
599900,4,3,House,1,Waverley,Freehold,'1 - 3 acres',?,3059,Detached,B2R,0.037536
649900,3,2,House,2,'Mount Uniacke',Freehold,'under 1/2 acre',?,1444,Detached,B0N,0
309000,3,2,'Row / Townhouse',2,Halifax,Condominium/Strata,?,1973,1602,?,B3M,0
399000,5,2,House,1,Lawrencetown,Freehold,'1 - 3 acres',1976,1440,Detached,B2Z,0
549900,4,4,House,2,Fairview,Freehold,'under 1/2 acre',2012,2338,Semi-detached,B3N,0
115000,2,1,House,1,'Upper Branch',Freehold,'1 - 3 acres',2002,877,Detached,B4V,0
1595000,6,4,House,2,Halifax,Freehold,'under 1/2 acre',2003,3960,Detached,B3H,0.061486
799000,2,2,Apartment,1,'Halifax Peninsula',Condominium/Strata,?,2018,1140,?,B3H,0
595000,4,4,House,2,Dartmouth,Freehold,'under 1/2 acre',1985,3964,Detached,B2X,0
399900,3,2,House,2,'Poplar Grove',Freehold,'1 - 3 acres',1986,1819,Detached,B0N,0.092702
274700,3,3,House,2,Thorburn,Freehold,'1 - 3 acres',?,1746,Detached,B0K,0
140000,3,1,House,2,Truro,Freehold,'under 1/2 acre',?,1056,Detached,B2N,0
699000,3,3,House,1,'Beaver Bank',Freehold,'1 - 3 acres',?,3221,Detached,B4G,0.057133
369900,3,2,House,1,Meadowvale,Freehold,'1/2 - 1 acre',1990,1764,Detached,B0P,0.422692
349000,3,3,House,1,Coldbrook,Freehold,'under 1/2 acre',2004,2028,Detached,B4R,0.047489
309900,3,2,House,1,Sackville,Freehold,'under 1/2 acre',2000,1536,Semi-detached,B4E,0.043779
119000,3,1,'Mobile Home',1,'Beaver Bank',Leasehold,Unknown,1997,896,?,B4E,0
1330000,4,4,House,2,Halifax,Freehold,'under 1/2 acre',?,3700,Detached,B3H,0
329900,1,1,Apartment,1,Halifax,Condominium/Strata,'under 1/2 acre',2008,720,?,B3K,0.060812
519900,4,3,House,2,Bedford,Freehold,'under 1/2 acre',1987,2644,Detached,B4A,0.128996
369900,3,2,House,1,'Lower Sackville',Freehold,'under 1/2 acre',2007,1428,Semi-detached,B4C,0
429000,5,3,House,2,'Lower Sackville',Freehold,'under 1/2 acre',1988,2786,Detached,B4E,0.256223
359900,3,2,House,1,'Gaetz Brook',Freehold,'under 1/2 acre',1980,1900,Detached,B0J,0.166054
219900,4,2,House,2,Kentville,Freehold,'under 1/2 acre',1942,2076,Detached,B4N,0.070396
179900,2,1,House,1,'Scotch Village',Freehold,'3 - 10 acres',1970,800,Detached,B0N,0
279900,4,2,House,1,'Cole Harbour',Freehold,'under 1/2 acre',2002,1360,Semi-detached,B2V,0.038361
199900,2,1,House,1,'Chester Basin',Freehold,'1 - 3 acres',1989,784,Detached,B0J,0.13675
149900,2,1,House,1,Brooklyn,Freehold,'under 1/2 acre',?,704,Detached,B0N,1.481788
209900,2,1,House,1,Plymouth,Freehold,'under 1/2 acre',?,1134,Detached,B0K,0
239900,4,1,House,1,'Clam Harbour',Freehold,'1/2 - 1 acre',2006,2003,Detached,B0J,0.057968
349900,5,2,House,2,'Watt Section',Freehold,'3 - 10 acres',1998,2466,Detached,B0J,0
379900,4,2,House,2,'Port Dufferin',Freehold,'1 - 3 acres',2004,1998,Detached,B0J,0.232721
149500,2,1,House,1,'Salmon River',Freehold,'under 1/2 acre',1964,595,Detached,B2N,0
199900,2,2,'Mobile Home',1,Bridgewater,Freehold,?,2008,1152,?,B4V,0
649000,3,1,House,2,Oakland,Freehold,'1 - 3 acres',1872,1700,Detached,B0J,0
375000,4,2,House,1,'Cole Harbour',Freehold,'under 1/2 acre',1973,1219,Detached,B2V,0.066545
449000,4,3,House,2,Spryfield,Freehold,'under 1/2 acre',?,1532,Semi-detached,B3R,0
299900,3,2,House,2,'Cole Harbour',Freehold,'under 1/2 acre',1976,1445,Semi-detached,B2V,0.147447
634900,4,4,'Row / Townhouse',3,Rockingham,Freehold,'under 1/2 acre',2019,2475,?,B3M,0
659000,4,4,House,2,'Herring Cove',Freehold,'under 1/2 acre',2021,2748,Detached,B3R,0.245373
118000,2,1,House,1,'Salmon River',Freehold,'under 1/2 acre',?,564,Detached,B6L,0
259900,3,2,House,2,Truro,Freehold,'under 1/2 acre',?,1416,Detached,B2N,0.241164
425000,3,3,House,2,'Middle Sackville',Freehold,'under 1/2 acre',2000,1689,Detached,B4E,0.047479
584900,2,2,Apartment,1,Bedford,Condominium/Strata,?,2007,1580,?,B4A,0.06566
254900,2,1,House,1,Truro,Freehold,'under 1/2 acre',2020,884,Detached,B2N,0
749900,2,3,'Row / Townhouse',2,Halifax,Condominium/Strata,'under 1/2 acre',2021,1141,?,B3H,0
2599000,5,4,House,2,Valley,Freehold,'1/2 - 1 acre',2012,7317,Detached,B6L,0
189000,6,2,House,2,Poulamon,Freehold,'under 1/2 acre',?,1250,Detached,B0E,0
299900,2,1,House,1,'Fort Ellis',Freehold,'1 - 3 acres',1988,1008,Detached,B0N,0
399900,3,1,House,1,'Lower Sackville',Freehold,'under 1/2 acre',2003,1744,Detached,B4C,0.077071
235000,2,1,House,2,'New Minas',Freehold,'1 - 3 acres',1952,1448,Detached,B4N,0
287500,2,2,House,1,Harmony,Freehold,'3 - 10 acres',?,1320,Detached,B0P,0.340476
880000,2,2,House,1,Dartmouth,Freehold,'under 1/2 acre',1950,1971,Detached,B2X,0
399900,4,2,House,1,'Eastern Passage',Freehold,'under 1/2 acre',2001,2113,Detached,B3G,0
329900,3,2,House,2,Timberlea,Freehold,'under 1/2 acre',1950,1424,Detached,B3T,0
239900,3,2,House,1,'Lower Five Islands',Freehold,'1 - 3 acres',1975,2461,Detached,B0M,0
359000,3,1,House,2,'Blue Rocks',Freehold,'under 1/2 acre',1902,1344,Detached,B0J,0
299500,3,2,House,1,Dartmouth,Freehold,'under 1/2 acre',1969,1600,Detached,B2W,0
999999,3,1,House,1,'White Rock',Freehold,'10 - 49 acres',2005,1000,Detached,B4P,0.999998
2395000,3,5,House,2,Halifax,Freehold,'under 1/2 acre',1955,3839,Detached,B3H,0.107875
649900,4,4,House,3,Spryfield,Freehold,'under 1/2 acre',2021,2546,Detached,B3N,0.144381
299900,3,2,'Row / Townhouse',2,Halifax,Condominium/Strata,'under 1/2 acre',1980,1798,?,B3M,0
759000,4,3,House,1,'Union Centre',Freehold,'100+ acres',1988,2840,Detached,B0K,0
240000,4,1,House,2,Parrsboro,Freehold,'1/2 - 1 acre',?,1368,Detached,B0M,0
399900,3,2,House,1,Windsor,Freehold,'under 1/2 acre',?,1560,Detached,B0N,0
850000,8,4,House,1,'Port Williams',Freehold,'under 1/2 acre',2017,4600,Semi-detached,B0P,0
689900,3,2,House,1,'Lower Wolfville',Freehold,'3 - 10 acres',2008,2073,Detached,B4P,0.191681
237500,2,1,House,1,Valley,Freehold,'under 1/2 acre',1972,1081,Detached,B2N,0.067008
385000,4,3,House,1,Kingston,Freehold,'under 1/2 acre',?,2700,Detached,B0P,0.066308
349000,3,2,House,1,Harmony,Freehold,'1 - 3 acres',1996,1838,Detached,B0P,0.19352
224900,2,1,Apartment,1,Dartmouth,Condominium/Strata,?,1976,748,?,B3A,0
194900,3,2,House,2,Stellarton,Freehold,'under 1/2 acre',?,1522,Detached,B0K,0
429900,6,3,House,2,Halifax,Freehold,'under 1/2 acre',2005,2250,Detached,B3R,0
299900,2,1,House,1,Halifax,Freehold,'under 1/2 acre',1969,790,Detached,B3R,0
750000,3,3,House,1,Coldbrook,Freehold,'1/2 - 1 acre',2021,1704,Detached,B4R,0
459900,3,2,House,1,Stewiacke,Freehold,'under 1/2 acre',?,1330,Detached,B0N,0
329900,2,2,House,1,'Lower Sackville',Freehold,'under 1/2 acre',1970,1920,Detached,B4C,0
400000,3,1,House,1,'Tupper Lake',Freehold,'1 - 3 acres',2013,1728,Detached,B0P,0.142347
274500,2,1,House,1,'Truro Heights',Freehold,'1/2 - 1 acre',1992,1587,Detached,B6L,0.158228
549000,3,3,House,1,'Windsor Junction',Freehold,'1/2 - 1 acre',1988,2160,Detached,B2T,0
749000,4,3,House,2,Lucasville,Freehold,'1 - 3 acres',2017,2534,Detached,B4B,0.56809
389000,3,2,House,1,'Lower Sackville',Freehold,'under 1/2 acre',1986,1721,Detached,B4C,0.131869
599900,5,3,House,1,Dartmouth,Freehold,'under 1/2 acre',1969,2596,Detached,B3A,0.06374
599900,4,4,House,2,Dartmouth,Freehold,'under 1/2 acre',2011,2824,Detached,B2W,0.035229
139900,2,0,House,2,'West Chezzetcook',Freehold,'1/2 - 1 acre',?,753,Detached,B0J,0
575000,3,4,House,2,Halifax,Freehold,'under 1/2 acre',2020,1950,Detached,B3P,0
950000,4,5,House,2,Coldbrook,Freehold,'1/2 - 1 acre',?,3850,Detached,B4R,0.962845
239900,3,1,House,1,'Salmon River',Freehold,'under 1/2 acre',1995,1176,Detached,B2N,0
289900,4,2,House,2,Kingston,Freehold,'under 1/2 acre',?,1525,Detached,B0P,0.082283
229900,3,2,House,3,Noel,Freehold,'1 - 3 acres',?,2018,Detached,B0N,0
2099000,4,4,House,2,'Glen Haven',Freehold,'1 - 3 acres',?,3645,Detached,B3Z,0.54298
829900,3,3,House,2,Halifax,Freehold,'under 1/2 acre',1917,1730,Detached,B3H,0.065662
399900,2,2,House,1,'Middle Sackville',Freehold,'under 1/2 acre',2021,1340,Detached,B4E,3.277005
379900,3,2,House,1,Bedford,Freehold,'under 1/2 acre',1955,1403,Detached,B4A,0.121634
329900,4,2,House,1,'Lower Sackville',Freehold,'under 1/2 acre',1984,2025,Detached,B4C,0
574900,4,2,House,1,Falmouth,Freehold,'3 - 10 acres',1997,2310,Detached,B0P,0
949000,3,2,House,2,'Martins Brook',Freehold,'1 - 3 acres',1872,1580,Detached,B0J,0
449900,3,4,'Row / Townhouse',2,Dartmouth,Freehold,'under 1/2 acre',2008,2178,?,B2Y,0
99900,2,1,House,1,Chaplin,Freehold,'3 - 10 acres',?,840,Detached,B0N,0
499900,1,1,Apartment,1,Halifax,Condominium/Strata,?,2018,625,?,B3H,0
400000,4,1,House,1,Dartmouth,Freehold,'under 1/2 acre',1956,2275,Detached,B2X,0
699900,4,4,House,2,'Currys Corner',Freehold,Unknown,?,3395,Detached,B0N,0.115328
439900,5,2,House,1,Timberlea,Freehold,'under 1/2 acre',1964,1924,Detached,B3T,0.119189
929000,4,4,House,2,Lawrencetown,Freehold,'1/2 - 1 acre',2005,2727,Detached,B2Z,0
219900,4,2,House,2,Trenton,Freehold,'under 1/2 acre',1977,1896,Detached,B0K,0
174900,4,1,House,1,'Port Hawkesbury',Freehold,'under 1/2 acre',1971,1520,Detached,B9A,0.152546
429000,5,3,House,1,'Brierly Brook',Freehold,'1 - 3 acres',2006,1800,Detached,B2G,0
499900,5,3,House,1,Harmony,Freehold,'3 - 10 acres',2011,2548,Detached,B6L,0.103144
339000,4,2,House,1,'Salmon River Bridge',Freehold,'under 1/2 acre',1998,1599,Detached,B0J,0.061841
575000,4,3,House,1,'Hammonds Plains',Freehold,'3 - 10 acres',2021,2053,Detached,B4B,0
479900,4,2,House,1,Halifax,Freehold,'under 1/2 acre',1967,2033,Detached,B3M,0
282500,3,1,House,1,'Eastern Passage',Freehold,'under 1/2 acre',1978,1440,Detached,B3G,0.036077
999900,9,4,House,2,Halifax,Freehold,'under 1/2 acre',1974,2572,Detached,B3H,0
499900,3,4,House,2,Millwood,Freehold,'under 1/2 acre',2005,2078,Detached,B4E,0.045308
104900,4,1,House,2,'Spencers Island',Freehold,'1 - 3 acres',1904,?,Detached,B0M,0
235000,6,2,House,1,Portapique,Freehold,'1 - 3 acres',?,1747,Detached,B0M,0.173328
350000,4,2,House,1,Dartmouth,Freehold,'under 1/2 acre',1969,1898,Detached,B3W,0.0946
549900,4,4,House,2,Dartmouth,Freehold,'under 1/2 acre',1999,2568,Detached,B2W,0
575000,4,4,House,2,Spryfield,Freehold,'under 1/2 acre',2013,2446,Detached,B3P,0.116397
449900,4,3,House,2,Meadowvale,Freehold,'1/2 - 1 acre',2015,2182,Detached,B0P,0.122878
349900,4,2,House,1,'New Minas',Freehold,'under 1/2 acre',1980,2300,Detached,B4N,0
335000,4,2,House,1,Kentville,Freehold,'under 1/2 acre',1968,1515,Detached,B4N,0.067389
989900,4,4,House,3,'Brunello Estates',Freehold,'under 1/2 acre',?,2900,Detached,B3T,0
449900,3,3,House,1,'Cole Harbour',Freehold,'under 1/2 acre',1982,2446,Detached,B2V,0
300000,2,1,Apartment,2,Halifax,Condominium/Strata,?,1986,1130,?,B3M,0.069696
409900,3,3,'Row / Townhouse',2,Dartmouth,Freehold,'under 1/2 acre',1993,2098,?,B2W,0.171668
365000,2,2,Apartment,1,Dartmouth,Condominium/Strata,?,1991,1100,?,B3A,0
645000,3,2,?,2,Halifax,Condominium/Strata,'under 1/2 acre',2019,1319,Detached,B3K,0
169900,4,2,House,2,'New Glasgow',Freehold,'under 1/2 acre',1921,1154,Detached,B2H,0.353633
95000,2,1,House,1,Springhill,Freehold,'1 - 3 acres',1940,967,Detached,B0M,0
74000,2,1,House,2,'West Arichat',Freehold,'under 1/2 acre',1923,864,Detached,B0E,0.06171
249900,4,2,House,2,'Pine Tree',Freehold,'3 - 10 acres',?,1636,Detached,B0K,0.290736
729900,4,4,House,2,Bedford,Freehold,'1/2 - 1 acre',?,3939,Detached,B4A,0
349900,4,3,House,2,Bedford,Freehold,'under 1/2 acre',1987,1866,Semi-detached,B4A,0
599900,3,4,'Row / Townhouse',2,Bedford,Freehold,'under 1/2 acre',2011,2197,?,B4B,0.121918
899900,4,4,House,2,'Hatchet Lake',Freehold,'1 - 3 acres',2016,3479,Detached,B3T,0.455594
449900,2,3,'Row / Townhouse',2,Dartmouth,Freehold,'3 - 10 acres',2014,1755,?,B3G,0
375000,3,2,House,2,Dartmouth,Freehold,'under 1/2 acre',1952,1530,Detached,B2W,0
539000,3,3,House,2,'Stillwater Lake',Freehold,'1/2 - 1 acre',2003,2045,Detached,B3Z,0
257000,3,2,'Row / Townhouse',2,Halifax,Condominium/Strata,'under 1/2 acre',?,1450,?,B3P,0
310000,4,2,House,1,Berwick,Freehold,'under 1/2 acre',2004,1600,Detached,B0P,0
469000,4,2,House,2,Liverpool,Freehold,'1/2 - 1 acre',1929,1650,Detached,B0T,0.259454
399900,4,2,House,1,'Hammonds Plains',Freehold,'1/2 - 1 acre',1989,1976,Detached,B4B,0
364900,3,2,House,2,'Port Bickerton',Freehold,'1 - 3 acres',1954,1668,Detached,B0J,0.461406
259900,4,2,House,1,'Simms Settlement',Freehold,'1/2 - 1 acre',1989,1896,Detached,B0J,0
450000,3,2,House,1,Chester,Freehold,'under 1/2 acre',2014,2744,Detached,B0J,0.125936
459000,2,2,House,2,Halifax,Freehold,'under 1/2 acre',1943,1292,Detached,B3P,0
239000,1,1,Apartment,1,Halifax,Condominium/Strata,?,1991,722,?,B3K,0.063606
289900,2,1,House,2,Dartmouth,Freehold,'under 1/2 acre',1940,1196,Detached,B2Y,0
157000,3,1,House,2,'Moshers Corner',Freehold,'1 - 3 acres',?,1300,Detached,B0P,0
269900,4,2,House,1,'New Minas',Freehold,'under 1/2 acre',1976,1605,Detached,B4N,0.101714
99000,2,1,'Mobile Home',1,'New Minas',Leasehold,'under 1/2 acre',?,694,?,B4N,0
415900,3,3,House,2,Greenwood,Freehold,'1 - 3 acres',2015,1720,Detached,B0P,0.084946
525000,5,4,House,2,'Colby Village',Freehold,'under 1/2 acre',1985,3374,Detached,B2V,0.076418
459900,4,2,House,1,'Upper Tantallon',Freehold,'1 - 3 acres',2009,2002,Detached,B3Z,0
375000,3,3,House,1,Coldbrook,Freehold,'under 1/2 acre',2001,2200,Detached,B4R,0.053828
499000,3,2,House,1,'Antigonish Landing',Freehold,'under 1/2 acre',2010,1200,Detached,B2G,0
549900,2,1,House,1,'Byers Lake',Freehold,'3 - 10 acres',1975,1128,Detached,B0K,0
549900,3,1,House,2,'Byers Lake',Freehold,'1 - 3 acres',2004,1600,Detached,B0K,0
499900,2,2,House,1,Halifax,Freehold,'under 1/2 acre',1952,877,Detached,B3K,0.083814
585000,4,4,House,2,Spryfield,Freehold,'under 1/2 acre',2011,2564,Detached,B3R,0.055846
749000,3,2,House,1,Tantallon,Freehold,'1 - 3 acres',2020,1824,Detached,B3Z,0
349900,3,1,House,1,Woodlawn,Freehold,'under 1/2 acre',?,1128,Detached,B2W,0.063939
219900,2,1,House,1,Dartmouth,Freehold,'under 1/2 acre',?,600,Detached,B3A,0
285000,2,1,House,1,'New Glasgow',Freehold,'under 1/2 acre',2008,896,Detached,B2H,0.177305
169900,3,1,'Mobile Home',1,'Lake Echo',Leasehold,'under 1/2 acre',2000,1152,?,B3E,0
999900,6,4,House,2,'Hammonds Plains',Freehold,'1 - 3 acres',1993,4241,Detached,B4B,0
939000,4,4,House,2,Bedford,Freehold,'under 1/2 acre',2020,2976,Detached,B4B,0
474900,3,4,House,2,'Middle Sackville',Freehold,'under 1/2 acre',2011,1950,Semi-detached,B4E,0.160313
799900,4,4,House,2,Bedford,Freehold,'under 1/2 acre',2020,2895,Detached,B4A,0
249000,2,2,House,2,Aylesford,Freehold,'3 - 10 acres',?,970,Detached,B0P,0.217029
420000,3,2,House,2,'Mount William',Freehold,'1 - 3 acres',1982,2468,Detached,B2H,0
299900,1,1,Apartment,1,'Halifax Peninsula',Condominium/Strata,'1/2 - 1 acre',1992,695,?,B3J,0.011354
349000,3,2,House,2,Woodlawn,Freehold,'under 1/2 acre',1975,1377,Semi-detached,B2W,0.094153
284500,3,2,House,3,Westville,Freehold,'under 1/2 acre',1959,1558,Detached,B0K,0
599000,3,3,House,2,'Currys Corner',Freehold,'1 - 3 acres',2008,2435,Detached,B0N,0.120497
199900,1,1,House,1,'Beaver Bank',Freehold,'under 1/2 acre',?,1400,Detached,B4C,0.093128
599900,5,3,House,1,'Lower Sackville',Freehold,'1/2 - 1 acre',1994,2820,Detached,B4C,0.065914
479900,3,2,House,1,Somerset,Freehold,'3 - 10 acres',2012,1287,Detached,B0P,0.391014
529900,3,3,House,1,Bedford,Freehold,'under 1/2 acre',1978,1763,Detached,B4A,0
424900,5,2,House,1,'Fall River',Freehold,'under 1/2 acre',1977,1960,Detached,B2T,0.153624
439900,3,2,House,1,Lawrencetown,Freehold,'1 - 3 acres',?,2430,Detached,B2Z,0.05095
799900,4,4,House,2,'Bedford West',Freehold,'under 1/2 acre',?,2589,Detached,B4B,0
225000,4,1,House,1,Nictaux,Freehold,'1 - 3 acres',1972,1248,Detached,B0S,0.14699
279900,4,2,House,2,'Port Hawkesbury',Freehold,'under 1/2 acre',1963,1832,Detached,B9A,0
459900,3,2,House,1,Stewiacke,Freehold,'under 1/2 acre',?,1330,Detached,B0N,0
349900,6,3,House,1,Valley,Freehold,'under 1/2 acre',1972,2986,Detached,B6L,0.076625
1252500,3,3,Apartment,1,Halifax,Condominium/Strata,?,?,1770,?,B3J,0
399900,3,2,House,1,Dartmouth,Freehold,'under 1/2 acre',1977,1300,Detached,B2W,0.065987
285000,3,3,House,1,'Hunts Point',Freehold,'1/2 - 1 acre',1980,1725,Detached,B0T,0.081079
223800,4,2,House,2,'New Glasgow',Freehold,'under 1/2 acre',?,1406,Detached,B2H,0.090683
429900,2,1,House,1,'Porters Lake',Freehold,'10 - 49 acres',1998,1170,Detached,B3E,0.076529
299000,5,2,House,1,Truro,Freehold,'under 1/2 acre',1966,2070,Detached,B2N,0.089398
279900,5,2,House,1,Truro,Freehold,'1/2 - 1 acre',?,1646,Detached,B2N,0.058621
289900,2,1,House,1,'Eastern Passage',Freehold,'under 1/2 acre',1952,930,Detached,B0J,0.049658
269900,3,1,House,1,'New Germany',Freehold,'10 - 49 acres',1968,1050,Detached,B0R,0
348500,4,3,House,1,Valley,Freehold,'under 1/2 acre',2020,2232,Detached,B2N,0
229500,3,1,House,2,'Halfway Brook',Freehold,'1 - 3 acres',1835,1458,Detached,B0N,1.86875
299900,3,1,House,1,'Lake Echo',Freehold,'1/2 - 1 acre',1968,1419,Detached,B3E,0
599900,3,2,House,1,Belnan,Freehold,'1 - 3 acres',2016,1651,Detached,B2S,0
649000,3,4,'Row / Townhouse',2,Bedford,Freehold,'under 1/2 acre',2005,2340,?,B4A,0.063223
279900,3,1,House,1,Canning,Freehold,'1 - 3 acres',?,1450,Detached,B0P,0.063309
239000,4,2,House,2,Prospect,Freehold,'1 - 3 acres',?,2040,Detached,B0P,0.158253
145000,3,0,House,2,Walden,Freehold,'1 - 3 acres',2017,847,Detached,B0J,0.382782
1299900,3,4,House,2,'Terence Bay',Freehold,'1/2 - 1 acre',1995,3570,Detached,B3T,0.118355
449900,2,2,House,2,'Upper Kennetcook',Freehold,'10 - 49 acres',2017,1568,Detached,B0N,0.188153
199000,3,1,'Mobile Home',1,'Manassette Lake',Freehold,'50 - 100 acres',1996,1126,?,B0H,0
225000,2,2,'Mobile Home',1,Antigonish,Freehold,'under 1/2 acre',2010,896,?,B2G,0.124746
129900,3,1,House,2,Belnan,Freehold,'1 - 3 acres',1859,1800,Detached,B2S,0
429900,3,3,House,2,Wellington,Freehold,'1/2 - 1 acre',1987,2044,Detached,B2T,0
299500,5,2,House,2,Middleton,Freehold,'under 1/2 acre',1913,2800,Detached,B0S,0
549000,6,2,House,3,'College Grant',Freehold,'10 - 49 acres',1988,3320,Detached,B0K,0
379900,3,2,House,1,'Salmon River',Freehold,'under 1/2 acre',1970,2280,Detached,B2N,0
124500,2,2,House,1,'Onslow Mountain',Freehold,'1/2 - 1 acre',1985,912,Detached,B6L,0
239900,3,2,House,1,'Bible Hill',Freehold,'under 1/2 acre',?,2184,Detached,B2N,0
229900,3,2,House,1,Parrsboro,Freehold,'under 1/2 acre',?,1120,Detached,B0M,0.138863
359900,3,2,House,1,'New Minas',Freehold,'under 1/2 acre',2004,1200,Detached,B4N,0
299900,3,1,House,1,Wellington,Freehold,'under 1/2 acre',1962,1261,Detached,B2T,0.046161
469000,3,2,House,1,Bridgewater,Freehold,'under 1/2 acre',2012,1803,Detached,B4V,0
3300000,5,5,House,2,'Martins Brook',Freehold,'3 - 10 acres',2003,7290,Detached,B0J,0
450000,2,2,Apartment,1,Halifax,Condominium/Strata,Unknown,1983,1050,?,B3L,0
399000,6,2,House,1,Antigonish,Freehold,'1/2 - 1 acre',1972,1534,Detached,B2G,0
599900,3,3,House,2,Brentwood,Freehold,'10 - 49 acres',1922,2428,Detached,B0N,0
499000,3,3,House,1,Tatamagouche,Freehold,'10 - 49 acres',2008,2220,Detached,B0K,0
197000,2,1,House,1,Parrsboro,Freehold,'1 - 3 acres',1987,810,Detached,B0M,0.515385
229900,2,1,House,1,'Three Mile Plains',Freehold,'1/2 - 1 acre',?,720,Detached,B0N,0
709900,3,2,House,2,Ardoise,Freehold,'1 - 3 acres',2019,2599,Detached,B0N,1.275034
489900,3,3,House,2,Beechville,Freehold,'under 1/2 acre',2000,2080,Detached,B3T,0
369900,3,2,House,2,Hantsport,Freehold,'1/2 - 1 acre',1975,2155,Detached,B0P,0.070307
696900,4,3,House,1,'West St. Andrews',Freehold,'1 - 3 acres',?,2488,Detached,B0N,0
379900,3,2,House,1,Antigonish,Freehold,'under 1/2 acre',1979,2170,Detached,B2G,0
399900,3,2,House,2,Bedford,Freehold,'under 1/2 acre',?,1920,Detached,B4A,0.680252
324900,4,3,House,1,Kingston,Freehold,'under 1/2 acre',1994,2200,Detached,B0P,0.136014
189900,2,1,House,2,'North Kentville',Freehold,'under 1/2 acre',1941,938,Detached,B4N,0
2000000,7,5,House,2,Halifax,Freehold,'under 1/2 acre',1918,3870,Detached,B3H,0
889000,3,4,'Row / Townhouse',3,Dartmouth,Freehold,'under 1/2 acre',2006,2400,?,B3A,0.145877
415000,4,3,House,1,Greenwood,Freehold,'under 1/2 acre',1995,2576,Detached,B0P,0.154006
259900,5,2,House,1,'Beaver Bank',Freehold,'1 - 3 acres',1972,1920,Detached,B4G,0.031386
359000,4,2,Duplex,1,'North Kentville',Freehold,'under 1/2 acre',1991,2100,'Side by side',B4N,0.070065
